id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
312371,AHJ,medium_airport,Hongyuan Airport,32.53154,102.35224,11600,AS,CN,CN-51,Aba,no,ZUHY,AHJ,,,http://en.wikipedia.org/wiki/Hongyuan_Airport,
314558,AXF,small_airport,Alxa Left Banner-Bayanhot Airport,38.8241,105.626,4806,AS,CN,CN-15,Bayanhot,yes,,AXF,,,http://en.wikipedia.org/wiki/Alxa_Left_Banner_Bayanhot_Airport,
35146,CN-0001,closed,Old Guangzhou Baiyun International Airport,23.1842002869,113.2659988403,,AS,CN,CN-44,Guangzhou,no,,,,,http://en.wikipedia.org/wiki/Guangzhou_Baiyun_International_Airport_%28former%29,CAN ZGGG
42466,CN-0002,medium_airport,Nanjing Air Base,31.9983005524,118.81199646,,AS,CN,CN-32,Nanjing,no,,,,,,Dajiaochang
43972,CN-0003,medium_airport,Laohutun Air Base,39.6699981689,121.7659988403,,AS,CN,CN-21,,no,,,,,,
43973,CN-0004,medium_airport,Pulandian Air Base,39.4509010315,122.0179977417,,AS,CN,CN-21,,no,,,,,,
43975,CN-0005,small_airport,Tangshan Sannühe Airport,39.7178001404,118.002624512,50,AS,CN,CN-13,Tangshan,yes,ZBTS,TVS,,,http://en.wikipedia.org/wiki/Tangshan_Air_Base,"Tangshan Air Base, 唐山三女河机场"
44082,CN-0006,medium_airport,Beijing Shahezhen Air Base,40.1491661072,116.3213882446,,AS,CN,CN-11,Beijing,no,,,,,,
44083,CN-0007,medium_airport,Beijing Tongxian Air Base,39.8111114502,116.7083358765,,AS,CN,CN-11,Beijing,no,,,,,,
45045,CN-0008,small_airport,Wang Kang Airfield,45.666,126.5275,,AS,CN,CN-23,Harbin,no,,,,,,
45046,CN-0009,small_airport,Shuang Yu Shu Airfield,45.66,126.7,,AS,CN,CN-23,Harbin,no,,,,,,
298989,CN-0010,medium_airport,Hedong Airport,38.322758333,106.393213889,,AS,CN,CN-64,Yinchuan,no,,,,,,
301195,CN-0011,closed,[Duplicate] Gu-Lian Airport,52.913917,122.427768,1836,AS,CN,CN-23,Mohe,yes,ZYMH,OHE,,,http://en.wikipedia.org/wiki/Mohe_Gulian_Airport,
44127,CN-0012,medium_airport,Yuanmou Air Base,25.7374992371,101.8820037842,3810,AS,CN,CN-53,Yuanmou,no,ZPYM,YUA,,,,
44089,CN-0013,medium_airport,Fengning Air Base,41.260799408,116.6179962158,,AS,CN,CN-13,,no,,,,,,
44090,CN-0014,medium_airport,Hohhot Air Base,40.7372016907,111.2289962769,,AS,CN,CN-15,,no,,,,,,
44091,CN-0015,medium_airport,Huairen Air Base,39.7174987793,113.142997742,3260,AS,CN,CN-14,Datong,no,,,,,http://en.wikipedia.org/wiki/Huairen_Air_Base,Datong Huairen Airport
44092,CN-0016,medium_airport,Liangxiangzhen Air Base,39.7578010559,116.1259994507,,AS,CN,CN-11,Beijing,no,,,,,,
307260,CN-0017,heliport,Lushan Heliport,29.664375858,116.079955101,,AS,CN,CN-U-A,,no,,,,,,Helicopter complex
44094,CN-0018,medium_airport,Tangguantun Air Base,38.7811012268,117.0680007935,,AS,CN,CN-12,,no,,,,,,
44095,CN-0019,closed,Tangshan Air Base,39.6563987732,118.1360015869,,AS,CN,CN-13,,no,,,,,,
44096,CN-0020,medium_airport,Wenshui Air Base,37.4077987671,111.966003418,,AS,CN,CN-14,,no,,,,,,
44097,CN-0021,medium_airport,Yangcun Air Base,39.373298645,117.0950012207,,AS,CN,CN-12,,no,,,,,,Meichong
44098,CN-0022,medium_airport,Yongning Air Base,40.5031013489,116.108001709,,AS,CN,CN-11,Yongning,no,,,,,,
312491,CN-0023,small_airport,Badaling or YanQing Airport,40.3786111111,115.9375,1750,AS,CN,CN-13,Yanqing,no,,,,,,
44100,CN-0024,medium_airport,Zhangjiakou Ningyuan Airport,40.7386016846,114.930000305,2347,AS,CN,CN-13,Zhangjiakou,yes,ZBZJ,ZQZ,,,http://en.wikipedia.org/wiki/Zhangjiakou_Ningyuan_Airport,"Zhangjiakou Air Base, 张家口宁远机场"
44101,CN-0025,medium_airport,Zunhua Air Base,40.1025009155,117.8870010376,,AS,CN,CN-13,,no,,,,,,
44102,CN-0026,medium_airport,Chengdu Air Base,30.7052993774,103.9499969482,,AS,CN,CN-51,,no,,,,,,
44103,CN-0027,medium_airport,Baoshan Yunduan Airport,25.053301,99.168297,5453,AS,CN,CN-53,,yes,ZPBS,BSD,,,http://en.wikipedia.org/wiki/Baoshan_Yunduan_Airport,
314643,CN-0028,heliport,Fiery Cross Reef Helipad,9.539168,112.880071,,AS,CN,CN-46,,no,,,,,,
314644,CN-0029,small_airport,Fiery Cross Reef Airfield,9.552789,112.889554,,AS,CN,CN-46,,no,,,,,,
44106,CN-0030,medium_airport,Chongqing Air Base,29.495300293,106.3590011597,,AS,CN,CN-50,Chongqing,no,,,,,,
314648,CN-0031,heliport,Subi Reef Helipad,10.913002,114.061933,,AS,CN,CN-U-A,,no,,,,,,
314908,CN-0032,closed,Kunming Wujiaba International Airport,24.9924,102.7435,6221,AS,CN,CN-53,Kunming,no,,,,,https://en.wikipedia.org/wiki/Kunming_Wujiaba_International_Airport,"KMG, ZPPP"
44109,CN-0033,small_airport,Dangxiong Air Base,30.4850006104,91.0658035278,,AS,CN,CN-54,,no,,,,,,
44110,CN-0034,small_airport,Dazu Air Base,29.636227,105.773621,1220,AS,CN,CN-50,Dazu,no,ZUDZ,DZU,,,,
44128,CN-0035,small_airport,Zhanyi Airport,25.5921993256,103.8290023804,,AS,CN,CN-53,,no,,,,,,
315143,CN-0036,small_airport,Shantou Waisha Airport,23.4269008636,116.7620010376,29,AS,CN,CN-44,Shantou,no,,,,,https://en.wikipedia.org/wiki/Shantou_Waisha_Airport,
315169,CN-0037,small_airport,Yongji Airport,34.8723,110.361,1236,AS,CN,CN-14,Yongji,no,,,,,,Yongyi Air Base
317868,CN-0038,heliport,BFA International Convention Center Heliport,19.140251,110.5632,0,AS,CN,CN-46,Dongyu Island,no,,,,,,
44115,CN-0039,small_airport,Lijiang Airport,23.5847,102.010003,,AS,CN,CN-53,Yuanjiang,no,,,,,,
44116,CN-0040,medium_airport,Lintsang Airfield,23.7381000519,100.025001526,6230,AS,CN,CN-53,Lincang,yes,ZPLC,LNJ,,,http://en.wikipedia.org/wiki/Lincang_Airport,Lincang Airport
